student_id,scholarship_id,feedback_type,weight,timestamp
STU_000000,SCH_000488,click,2.0,2024-08-17T11:00:00Z
STU_000000,SCH_000488,reject,-1.0,2024-09-05T01:00:00Z
STU_000000,SCH_000121,view,1.0,2024-09-08T11:00:00Z
STU_000001,SCH_000409,view,1.0,2024-10-18T16:00:00Z
STU_000001,SCH_000193,click,2.0,2024-08-27T20:00:00Z
STU_000001,SCH_000683,apply,3.0,2024-06-09T01:00:00Z
STU_000001,SCH_000513,click,2.0,2024-03-25T11:00:00Z
STU_000001,SCH_000409,apply,3.0,2024-12-21T04:00:00Z
STU_000001,SCH_000624,click,2.0,2024-09-27T08:00:00Z
STU_000001,SCH_000222,view,1.0,2024-12-25T04:00:00Z
STU_000001,SCH_000759,view,1.0,2024-03-18T21:00:00Z
STU_000001,SCH_000306,reject,-1.0,2024-01-14T14:00:00Z
STU_000001,SCH_000694,view,1.0,2024-01-11T07:00:00Z
STU_000002,SCH_000187,click,2.0,2024-11-07T05:00:00Z
STU_000002,SCH_000459,view,1.0,2024-04-26T02:00:00Z
STU_000002,SCH_000005,click,2.0,2024-05-02T07:00:00Z
STU_000002,SCH_000302,click,2.0,2024-10-30T17:00:00Z
STU_000002,SCH_000568,click,2.0,2024-05-02T12:00:00Z
STU_000002,SCH_000459,apply,3.0,2024-03-19T15:00:00Z
STU_000002,SCH_000548,view,1.0,2024-01-02T05:00:00Z
STU_000002,SCH_000414,reject,-1.0,2024-09-01T12:00:00Z
STU_000002,SCH_000532,view,1.0,2024-01-25T20:00:00Z
STU_000002,SCH_000663,view,1.0,2024-09-27T03:00:00Z
STU_000002,SCH_000721,apply,3.0,2024-05-19T20:00:00Z
STU_000002,SCH_000187,reject,-1.0,2024-06-03T22:00:00Z
STU_000002,SCH_000229,reject,-1.0,2024-07-06T07:00:00Z
STU_000003,SCH_000170,reject,-1.0,2024-12-14T02:00:00Z
STU_000003,SCH_000170,view,1.0,2024-08-24T02:00:00Z
STU_000003,SCH_000063,view,1.0,2024-12-20T01:00:00Z
STU_000003,SCH_000035,reject,-1.0,2024-04-02T17:00:00Z
STU_000003,SCH_000719,view,1.0,2024-11-26T00:00:00Z
STU_000003,SCH_000241,reject,-1.0,2024-11-28T04:00:00Z
STU_000003,SCH_000680,click,2.0,2024-04-04T17:00:00Z
STU_000003,SCH_000063,click,2.0,2024-07-27T20:00:00Z
STU_000003,SCH_000170,view,1.0,2024-09-16T09:00:00Z
STU_000003,SCH_000739,reject,-1.0,2024-10-14T22:00:00Z
STU_000004,SCH_000766,reject,-1.0,2024-07-27T09:00:00Z
STU_000004,SCH_000362,view,1.0,2024-07-11T05:00:00Z
STU_000004,SCH_000552,view,1.0,2024-11-29T02:00:00Z
STU_000004,SCH_000430,apply,3.0,2024-12-29T11:00:00Z
STU_000004,SCH_000362,apply,3.0,2024-04-12T08:00:00Z
STU_000004,SCH_000362,click,2.0,2024-07-12T17:00:00Z
STU_000004,SCH_000192,reject,-1.0,2024-09-12T08:00:00Z
STU_000004,SCH_000430,view,1.0,2024-03-18T11:00:00Z
STU_000004,SCH_000362,click,2.0,2024-07-26T10:00:00Z
STU_000004,SCH_000771,view,1.0,2024-08-03T00:00:00Z
STU_000004,SCH_000651,reject,-1.0,2024-07-30T18:00:00Z
STU_000004,SCH_000552,click,2.0,2024-12-30T02:00:00Z
STU_000005,SCH_000483,click,2.0,2024-04-06T15:00:00Z
STU_000005,SCH_000001,reject,-1.0,2024-04-07T09:00:00Z
STU_000006,SCH_000193,reject,-1.0,2024-01-15T14:00:00Z
STU_000006,SCH_000076,view,1.0,2024-01-29T05:00:00Z
STU_000006,SCH_000029,click,2.0,2024-10-14T20:00:00Z
STU_000006,SCH_000014,reject,-1.0,2024-06-11T15:00:00Z
STU_000006,SCH_000636,view,1.0,2024-09-01T04:00:00Z
STU_000007,SCH_000613,click,2.0,2024-07-28T12:00:00Z
STU_000007,SCH_000613,view,1.0,2024-04-20T08:00:00Z
STU_000008,SCH_000794,click,2.0,2024-04-24T17:00:00Z
STU_000009,SCH_000172,reject,-1.0,2024-12-25T10:00:00Z
STU_000009,SCH_000437,reject,-1.0,2024-11-19T08:00:00Z
STU_000009,SCH_000507,view,1.0,2024-02-02T06:00:00Z
STU_000009,SCH_000454,reject,-1.0,2024-06-16T05:00:00Z
STU_000009,SCH_000488,reject,-1.0,2024-01-04T22:00:00Z
STU_000009,SCH_000385,view,1.0,2024-09-18T20:00:00Z
STU_000009,SCH_000094,apply,3.0,2024-05-17T08:00:00Z
STU_000009,SCH_000603,view,1.0,2024-07-23T07:00:00Z
STU_000009,SCH_000101,view,1.0,2024-06-13T13:00:00Z
STU_000009,SCH_000398,reject,-1.0,2024-04-01T03:00:00Z
STU_000009,SCH_000796,apply,3.0,2024-10-20T07:00:00Z
STU_000009,SCH_000796,view,1.0,2024-06-03T00:00:00Z
STU_000009,SCH_000423,view,1.0,2024-12-09T12:00:00Z
STU_000010,SCH_000607,reject,-1.0,2024-11-23T14:00:00Z
STU_000010,SCH_000180,click,2.0,2024-12-15T08:00:00Z
STU_000010,SCH_000503,reject,-1.0,2024-02-07T22:00:00Z
STU_000010,SCH_000239,apply,3.0,2024-06-25T22:00:00Z
STU_000010,SCH_000465,apply,3.0,2024-02-05T12:00:00Z
STU_000011,SCH_000456,apply,3.0,2024-09-08T00:00:00Z
STU_000011,SCH_000635,apply,3.0,2024-06-13T14:00:00Z
STU_000011,SCH_000498,view,1.0,2024-06-23T06:00:00Z
STU_000011,SCH_000613,view,1.0,2024-01-29T16:00:00Z
STU_000011,SCH_000171,view,1.0,2024-02-02T05:00:00Z
STU_000011,SCH_000748,reject,-1.0,2024-02-02T05:00:00Z
STU_000011,SCH_000222,apply,3.0,2024-11-30T08:00:00Z
STU_000011,SCH_000456,click,2.0,2024-07-13T01:00:00Z
STU_000011,SCH_000613,reject,-1.0,2024-03-28T11:00:00Z
STU_000012,SCH_000078,click,2.0,2024-03-13T12:00:00Z
STU_000012,SCH_000528,view,1.0,2024-08-05T16:00:00Z
STU_000012,SCH_000238,click,2.0,2024-04-01T15:00:00Z
STU_000012,SCH_000535,click,2.0,2024-04-26T22:00:00Z
STU_000012,SCH_000554,reject,-1.0,2024-11-03T09:00:00Z
STU_000012,SCH_000528,apply,3.0,2024-10-05T09:00:00Z
STU_000012,SCH_000046,apply,3.0,2024-07-29T07:00:00Z
STU_000012,SCH_000282,click,2.0,2024-08-23T15:00:00Z
STU_000012,SCH_000282,apply,3.0,2024-06-13T13:00:00Z
STU_000013,SCH_000516,click,2.0,2024-02-11T13:00:00Z
STU_000013,SCH_000516,click,2.0,2024-06-30T16:00:00Z
STU_000013,SCH_000359,click,2.0,2024-09-28T21:00:00Z
STU_000013,SCH_000584,click,2.0,2024-08-22T03:00:00Z
STU_000013,SCH_000047,click,2.0,2024-02-16T22:00:00Z
STU_000013,SCH_000516,click,2.0,2024-10-04T09:00:00Z
STU_000013,SCH_000578,view,1.0,2024-05-18T22:00:00Z
STU_000013,SCH_000564,reject,-1.0,2024-11-16T06:00:00Z
STU_000013,SCH_000046,click,2.0,2024-10-28T06:00:00Z
STU_000013,SCH_000359,reject,-1.0,2024-12-28T15:00:00Z
STU_000013,SCH_000359,click,2.0,2024-07-09T20:00:00Z
STU_000013,SCH_000450,reject,-1.0,2024-02-17T11:00:00Z
STU_000014,SCH_000522,reject,-1.0,2024-12-07T22:00:00Z
STU_000014,SCH_000019,apply,3.0,2024-05-11T21:00:00Z
STU_000014,SCH_000638,click,2.0,2024-10-12T14:00:00Z
STU_000014,SCH_000121,reject,-1.0,2024-02-07T19:00:00Z
STU_000015,SCH_000431,click,2.0,2024-03-04T12:00:00Z
STU_000015,SCH_000498,view,1.0,2024-09-12T19:00:00Z
STU_000015,SCH_000374,reject,-1.0,2024-12-02T20:00:00Z
STU_000015,SCH_000207,view,1.0,2024-03-28T09:00:00Z
STU_000016,SCH_000226,view,1.0,2024-08-30T10:00:00Z
STU_000016,SCH_000258,view,1.0,2024-12-23T05:00:00Z
STU_000016,SCH_000405,reject,-1.0,2024-12-28T08:00:00Z
STU_000016,SCH_000748,click,2.0,2024-09-24T21:00:00Z
STU_000016,SCH_000206,view,1.0,2024-10-01T14:00:00Z
STU_000016,SCH_000679,view,1.0,2024-12-02T05:00:00Z
STU_000016,SCH_000203,click,2.0,2024-09-14T14:00:00Z
STU_000016,SCH_000736,view,1.0,2024-05-13T11:00:00Z
STU_000016,SCH_000692,reject,-1.0,2024-05-11T11:00:00Z
STU_000016,SCH_000472,click,2.0,2024-07-31T22:00:00Z
STU_000016,SCH_000474,view,1.0,2024-03-23T00:00:00Z
STU_000016,SCH_000003,click,2.0,2024-05-01T00:00:00Z
STU_000016,SCH_000546,reject,-1.0,2024-07-03T05:00:00Z
STU_000016,SCH_000362,view,1.0,2024-05-01T20:00:00Z
STU_000017,SCH_000637,click,2.0,2024-03-20T09:00:00Z
