student_id,nationality,age,current_degree_level,target_degree_level,high_school_track,school_name,overall_report_card_average,math_score,english_score,major_subject_average,language_proficiency,olympiad_level,olympiad_subjects,leadership_experience_count,volunteer_experience_count,competition_wins_count,school_tier,family_income_category,from_underrepresented_region,intended_career_track,willing_to_return_home,target_countries,personal_statement,achievements_narrative,future_goals,needs_full_funding,can_self_fund_living
STU_000000,morocco,16,high_school,bachelors,science,General High School,90.3,59.2,86.8,81.9,[],none,[],1,2,1,public_a,upper_middle,False,entrepreneurship,False,"[""sweden"", ""malaysia""]",I am passionate about business and aspire to make a significant contribution to public health policy.,Served as secretary in student council.. Led a team of 3 in a business_studies project..,My long-term goal is to become a leader in business and drive innovation in North_america.,True,False
STU_000001,france,17,high_school,bachelors,languages,General High School,60.3,51.2,71.5,73.0,[],national,"[""geography"", ""physics""]",1,3,1,public_a,very_low,False,entrepreneurship,True,"[""malaysia"", ""australia"", ""uk""]","As a dedicated student of languages, I have been actively involved in innovation.",Won debate competition at the school level.. Led a team of 9 in a biology project.. Led a team of 6 in a history project..,I aspire to establish a program focused on machine learning that benefits underrepresented communities.,True,False
STU_000002,germany,17,high_school,bachelors,social_studies,General High School,81.4,69.3,41.0,65.4,"[{""test_type"": ""ielts"", ""score"": 7.1, ""valid_until"": ""2026-01-01""}]",city,"[""physics"", ""informatics""]",2,2,2,accredited_b,middle,True,ngo_npo,True,"[""morocco"", ""south_africa""]",I am passionate about mathematics and aspire to make a significant contribution to financial technology.,Volunteered 59 hours for community service.. Led a team of 7 in a history project.. Volunteered 43 hours for community service..,"After completing my studies, I plan to return home and contribute to financial technology in my community.",True,False
STU_000003,australia,17,high_school,bachelors,vocational,General High School,96.7,80.4,56.6,68.3,"[{""test_type"": ""ielts"", ""score"": 4.1, ""valid_until"": ""2026-08-01""}]",none,[],0,4,0,unknown,low,False,academic,True,"[""vietnam""]",I am passionate about education and aspire to make a significant contribution to sustainable agriculture.,Volunteered 91 hours for community service.. Achieved provincial level in business_studies olympiad.. Achieved provincial level in computer_science olympiad..,I want to bridge the gap between education and sustainable agriculture through research and practice.,False,True
STU_000004,australia,16,high_school,bachelors,languages,General High School,71.8,66.3,83.8,83.7,"[{""test_type"": ""topik"", ""score"": 250, ""valid_until"": ""2026-01-01""}]",school,"[""physics""]",3,1,0,unaccredited,low,False,entrepreneurship,False,"[""germany"", ""new_zealand"", ""singapore""]",I am passionate about chemistry and aspire to make a significant contribution to education reform.,Achieved school level in geography olympiad.. Achieved city level in informatics olympiad.. Volunteered 162 hours for community service..,I aspire to establish a program focused on education reform that benefits underrepresented communities.,True,False
STU_000005,nigeria,16,high_school,bachelors,religion,General High School,67.7,97.1,75.9,86.3,"[{""test_type"": ""toefl"", ""score"": 110.4, ""valid_until"": ""2026-04-01""}]",school,"[""informatics"", ""computer_science""]",2,4,0,unknown,high,False,public_service,True,"[""india"", ""netherlands"", ""nigeria""]",I am passionate about social_sciences and aspire to make a significant contribution to genomic research.,Led a team of 8 in a informatics project.. Served as secretary in student council.. Achieved city level in physics olympiad..,My long-term goal is to become a leader in social_sciences and drive innovation in Asia.,False,False
STU_000006,canada,17,high_school,bachelors,social_studies,General High School,72.8,97.1,59.4,78.3,[],school,"[""astronomy""]",1,2,1,public_a,high,False,ngo_npo,True,"[""switzerland""]","Growing up in canada, I witnessed firsthand the challenges in quantum computing and want to address them.",Volunteered 21 hours for community service.. Achieved school level in computer_science olympiad.. Achieved city level in biology olympiad..,I want to bridge the gap between engineering and quantum computing through research and practice.,False,False
STU_000007,vietnam,16,high_school,bachelors,religion,Lý Tự Trọng High School,85.9,76.5,66.9,79.9,[],school,"[""physics""]",2,5,1,accredited_b,upper_middle,False,academic,True,"[""usa"", ""brazil""]",My journey in engineering began during high school where I discovered my love for public health policy.,Won math competition at the national level..,I want to bridge the gap between engineering and public health policy through research and practice.,True,False
STU_000008,netherlands,17,high_school,bachelors,languages,General High School,85.7,50.8,70.7,65.2,"[{""test_type"": ""topik"", ""score"": 50, ""valid_until"": ""2026-08-01""}]",none,[],1,3,2,accredited_c,upper_middle,False,public_service,True,"[""vietnam""]",I am passionate about business and aspire to make a significant contribution to artificial intelligence.,Achieved national level in astronomy olympiad.. Achieved school level in chemistry olympiad..,I aspire to establish a program focused on artificial intelligence that benefits underrepresented communities.,True,False
STU_000009,nigeria,17,high_school,bachelors,social_studies,General High School,84.1,67.0,61.0,87.7,"[{""test_type"": ""hsk"", ""score"": 60, ""valid_until"": ""2026-01-01""}]",school,"[""informatics"", ""business_studies""]",3,4,2,excellence,very_low,False,entrepreneurship,True,"[""china""]",My journey in physics began during high school where I discovered my love for financial technology.,Led a team of 7 in a geography project.. Volunteered 147 hours for community service..,I want to bridge the gap between physics and financial technology through research and practice.,True,False
STU_000010,vietnam,17,high_school,bachelors,languages,Lý Tự Trọng High School,92.3,82.9,74.1,59.2,"[{""test_type"": ""delf"", ""score"": 40, ""valid_until"": ""2026-11-01""}]",none,[],3,2,0,public_a,upper_middle,False,entrepreneurship,True,"[""argentina""]","As a dedicated student of languages, I have been actively involved in innovation.",Led a team of 14 in a physics project..,"After completing my studies, I plan to return home and contribute to education reform in my community.",False,False
STU_000011,china,16,high_school,bachelors,languages,Beijing No.4 High School,70.6,94.2,84.9,97.9,"[{""test_type"": ""ielts"", ""score"": 6.5, ""valid_until"": ""2026-05-01""}]",none,[],1,5,0,accredited_b,low,False,academic,False,"[""sweden"", ""brazil"", ""china""]","As a dedicated student of languages, I have been actively involved in research.",Volunteered 146 hours for community service.. Won debate competition at the school level..,I want to bridge the gap between law and climate change mitigation through research and practice.,True,False
STU_000012,sweden,17,high_school,bachelors,social_studies,General High School,88.1,84.9,82.1,71.2,[],none,[],5,6,1,unaccredited,high,True,government,True,"[""south_korea"", ""nigeria"", ""philippines""]",My journey in social_sciences began during high school where I discovered my love for human-computer interaction.,Volunteered 70 hours for community service.. Volunteered 82 hours for community service.. Achieved national level in mathematics olympiad..,My long-term goal is to become a leader in social_sciences and drive innovation in Asia.,True,False
STU_000013,brazil,17,high_school,bachelors,religion,General High School,61.2,51.9,89.4,71.2,[],provincial,"[""biology"", ""business_studies""]",2,4,1,excellence,low,False,academic,True,"[""china""]","As a dedicated student of religion, I have been actively involved in research.",Won math competition at the provincial level.. Volunteered 164 hours for community service..,"After completing my studies, I plan to return home and contribute to human-computer interaction in my community.",True,False
STU_000014,netherlands,17,high_school,bachelors,vocational,General High School,70.3,71.9,44.7,56.1,[],none,[],4,1,2,accredited_b,middle,False,public_service,True,"[""australia""]","As a dedicated student of vocational, I have been actively involved in innovation.",Achieved provincial level in astronomy olympiad..,I aspire to establish a program focused on machine learning that benefits underrepresented communities.,False,False
STU_000015,france,17,high_school,bachelors,religion,General High School,87.7,52.4,74.0,62.1,"[{""test_type"": ""ielts"", ""score"": 5.5, ""valid_until"": ""2026-04-01""}]",none,[],1,5,2,accredited_c,middle,False,industry,True,"[""india"", ""netherlands""]","As a dedicated student of religion, I have been actively involved in research.",Served as vice president in student council.. Won debate competition at the national level..,I want to bridge the gap between computer_science and renewable energy systems through research and practice.,True,False
STU_000016,india,16,high_school,bachelors,vocational,Delhi Public School,66.2,53.5,78.5,56.2,"[{""test_type"": ""ielts"", ""score"": 8.2, ""valid_until"": ""2026-01-01""}]",none,[],3,3,0,unknown,low,False,industry,False,"[""malaysia"", ""south_korea""]","Growing up in india, I witnessed firsthand the challenges in machine learning and want to address them.",Volunteered 54 hours for community service..,My long-term goal is to become a leader in chemistry and drive innovation in North_america.,False,True
STU_000017,new_zealand,16,high_school,bachelors,science,General High School,62.7,65.9,90.7,56.0,"[{""test_type"": ""toefl"", ""score"": 105.2, ""valid_until"": ""2026-11-01""}]",provincial,"[""english_language""]",0,5,1,accredited_b,very_low,True,academic,True,"[""argentina""]","As a dedicated student of science, I have been actively involved in community service.",Volunteered 170 hours for community service.. Led a team of 7 in a history project.. Volunteered 32 hours for community service..,I want to bridge the gap between social_sciences and education reform through research and practice.,True,False
STU_000018,south_korea,16,high_school,bachelors,languages,Hwawon High School,88.7,55.2,94.2,77.7,[],provincial,"[""physics"", ""chemistry""]",1,1,2,public_a,middle,True,industry,False,"[""sweden"", ""france""]",My journey in education began during high school where I discovered my love for artificial intelligence.,Achieved national level in linguistics olympiad.. Led a team of 12 in a computer_science project.. Served as vice president in student council..,I want to bridge the gap between education and artificial intelligence through research and practice.,True,False
STU_000019,switzerland,16,high_school,bachelors,science,General High School,82.9,77.7,52.8,97.6,[],city,"[""business_studies"", ""computer_science""]",1,1,1,accredited_c,upper_middle,False,entrepreneurship,True,"[""netherlands"", ""egypt"", ""nigeria""]",My journey in mathematics began during high school where I discovered my love for human-computer interaction.,Led a team of 13 in a geography project..,My long-term goal is to become a leader in mathematics and drive innovation in Asia.,True,False
