scholarship_id,name,eligible_nationalities,min_age,max_age,eligible_degree_levels,eligible_high_school_tracks,eligible_fields,preferred_school_tier,min_report_card_average,min_major_subject_average,language_requirements,requires_financial_need,max_family_income_category,host_country,host_region,selection_criteria,career_track_preference,requires_return_home_country,mission_statement,target_recipient_profile,funding_covers_tuition,funding_covers_living,funding_covers_airfare,funding_covers_insurance,funding_monthly_stipend,funding_is_full_funding,funding_coverage_count
SCH_000000,Argentina Computer Science Scholarship,"[""japan"", ""brazil"", ""philippines"", ""south_korea"", ""france"", ""singapore""]",17,22,"[""high_school"", ""bachelors""]","[""religion""]","[""computer_science""]",public_a,69.7,72.2,"[{""test_type"": ""jlpt"", ""min_score"": 40, ""is_mandatory"": false}]",False,very_low,argentina,south_america,"{""academic"": 0.336, ""leadership"": 0.2, ""olympiad"": 0.288, ""extracurricular"": 0.104, ""essay"": 0.072}",government,True,Our mission is to empower talented individuals from South_america pursuing excellence in computer_science.,We are looking for candidates with strong academic records and proven research experience.,True,False,True,False,979.86,False,2
SCH_000001,New Zealand Agriculture Scholarship,"[""south_africa"", ""chile"", ""australia"", ""uk"", ""malaysia""]",16,20,"[""high_school""]","[""vocational""]","[""agriculture""]",accredited_b,68.5,53.8,"[{""test_type"": ""toefl"", ""min_score"": 98.6, ""is_mandatory"": true}]",True,middle,new_zealand,oceania,"{""academic"": 0.5104, ""leadership"": 0.1667, ""olympiad"": 0.1146, ""extracurricular"": 0.0833, ""essay"": 0.125}",,True,We seek to support outstanding students in agriculture who demonstrate commitment to innovation.,We value students who show leadership potential and dedication to public health policy.,True,False,True,True,1669.7,False,3
SCH_000002,Germany Agriculture Scholarship,"[""france"", ""malaysia"", ""netherlands"", ""indonesia"", ""australia"", ""japan"", ""argentina""]",17,21,"[""high_school""]","[""religion""]","[""agriculture""]",private_a,68.4,78.9,"[{""test_type"": ""ielts"", ""min_score"": 7.2, ""is_mandatory"": false}]",False,upper_middle,germany,europe,"{""academic"": 0.402, ""leadership"": 0.0686, ""olympiad"": 0.2549, ""extracurricular"": 0.1373, ""essay"": 0.1373}",government,True,We seek to support outstanding students in agriculture who demonstrate commitment to societal impact.,We are looking for candidates with strong academic records and proven research experience.,True,True,False,False,1913.4,True,2
SCH_000003,Usa Law Scholarship,"[""usa"", ""india"", ""germany"", ""china""]",16,21,"[""high_school""]","[""vocational"", ""science""]","[""law"", ""mathematics"", ""physics"", ""economics""]",accredited_b,75.1,56.8,[],False,low,usa,north_america,"{""academic"": 0.3621, ""leadership"": 0.2069, ""olympiad"": 0.1466, ""extracurricular"": 0.0431, ""essay"": 0.2414}",entrepreneurship,False,We seek to support outstanding students in law who demonstrate commitment to societal impact.,We value students who show leadership potential and dedication to education reform.,True,False,True,True,1689.94,False,3
SCH_000004,Switzerland Computer Science Scholarship,"[""indonesia"", ""philippines""]",16,19,"[""high_school"", ""bachelors""]","[""languages"", ""religion""]","[""computer_science"", ""mathematics"", ""business"", ""engineering""]",excellence,75.2,67.2,"[{""test_type"": ""toefl"", ""min_score"": 103.5, ""is_mandatory"": true}]",False,very_low,switzerland,europe,"{""academic"": 0.176, ""leadership"": 0.12, ""olympiad"": 0.296, ""extracurricular"": 0.224, ""essay"": 0.184}",public_service,False,We seek to support outstanding students in computer_science who demonstrate commitment to knowledge advancement.,We are looking for candidates with strong academic records and proven research experience.,True,False,True,True,1598.52,False,3
SCH_000005,New Zealand Education Scholarship,"[""indonesia"", ""germany"", ""south_korea"", ""india"", ""switzerland"", ""nigeria""]",16,21,"[""high_school""]","[""vocational"", ""religion""]","[""education"", ""computer_science"", ""social_sciences"", ""mathematics""]",accredited_b,57.0,53.4,[],False,low,new_zealand,oceania,"{""academic"": 0.1797, ""leadership"": 0.2266, ""olympiad"": 0.2031, ""extracurricular"": 0.1953, ""essay"": 0.1953}",,True,We seek to support outstanding students in education who demonstrate commitment to societal impact.,Ideal candidates demonstrate excellence in education and commitment to community service.,True,True,False,False,752.66,True,2
SCH_000006,India Engineering Scholarship,"[""singapore"", ""thailand"", ""china""]",17,22,"[""high_school""]","[""religion""]","[""engineering"", ""law"", ""biology""]",excellence,62.3,76.0,"[{""test_type"": ""ielts"", ""min_score"": 7.1, ""is_mandatory"": false}]",True,low,india,asia,"{""academic"": 0.2967, ""leadership"": 0.1099, ""olympiad"": 0.3187, ""extracurricular"": 0.1978, ""essay"": 0.0769}",entrepreneurship,False,This scholarship aims to nurture future leaders in engineering with a passion for artificial intelligence.,We are looking for candidates with strong academic records and proven leadership experience.,True,False,False,False,550.09,False,1
SCH_000007,Switzerland Agriculture Scholarship,"[""kenya"", ""morocco"", ""germany"", ""japan"", ""uk""]",17,22,"[""high_school""]","[""social_studies""]","[""agriculture"", ""engineering"", ""education""]",accredited_b,56.2,70.9,"[{""test_type"": ""delf"", ""min_score"": 40, ""is_mandatory"": false}]",True,upper_middle,switzerland,europe,"{""academic"": 0.4248, ""leadership"": 0.2212, ""olympiad"": 0.177, ""extracurricular"": 0.1062, ""essay"": 0.0708}",,False,Our mission is to empower talented individuals from Europe pursuing excellence in agriculture.,We value students who show leadership potential and dedication to machine learning.,True,True,True,False,1236.73,True,3
SCH_000008,Chile Engineering Scholarship,"[""philippines"", ""china"", ""canada"", ""thailand"", ""australia"", ""uk""]",16,19,"[""high_school"", ""bachelors""]","[""vocational"", ""social_studies""]","[""engineering"", ""law""]",accredited_b,63.5,74.9,"[{""test_type"": ""topik"", ""min_score"": 150, ""is_mandatory"": true}]",False,very_low,chile,south_america,"{""academic"": 0.2328, ""leadership"": 0.1466, ""olympiad"": 0.2328, ""extracurricular"": 0.1897, ""essay"": 0.1983}",,True,This scholarship aims to nurture future leaders in engineering with a passion for genomic research.,Ideal candidates demonstrate excellence in engineering and commitment to technological advancement.,True,True,True,False,840.01,True,3
SCH_000009,Argentina Biology Scholarship,"[""indonesia"", ""egypt"", ""thailand"", ""sweden"", ""canada"", ""brazil""]",17,21,"[""high_school"", ""bachelors""]","[""vocational"", ""religion""]","[""biology""]",excellence,72.6,57.5,"[{""test_type"": ""ielts"", ""min_score"": 6.9, ""is_mandatory"": true}]",True,upper_middle,argentina,south_america,"{""academic"": 0.413, ""leadership"": 0.1522, ""olympiad"": 0.1522, ""extracurricular"": 0.1848, ""essay"": 0.0978}",,False,Our mission is to empower talented individuals from South_america pursuing excellence in biology.,We are looking for candidates with strong academic records and proven research experience.,False,True,True,False,510.71,False,2
